name,url,developer,year,screenshot,youtube,vimeo,steam,apple,google
Zivilcourage,http://www.ludic.ch/projekt/zivilcourage,Ludic GmbH,2014,http://www.ludic.ch/sites/default/files/styles/carousel/public/ZC_9.jpg?itok=pCPS2xe7,,http://player.vimeo.com/video/100217724/,,,
ZoOp!,http://www.zappedcow.com/zoop/,Zapped Cow,2013,http://www.zappedcow.com/zoop/logo.png,https://www.youtube.com/watch?v=pAXshAdxVW4?rel=0,,,https://itunes.apple.com/us/app/zoop!/id721359972,
Zwirn,http://www.zwirn-game.com/,Bruno Meilick & Julian Kraan,2010,http://www.zwirn-game.com/zwirn01.png,https://www.youtube.com/watch?v=Iimw8ykyIro,,,,
Antyz,http://www.dna-studios.ch/fr/jeux-video/antyz/a-propos-du-jeu/,DNA studios,,,,,,,
CMYK,http://cmyk.elephantatwork.ch/,Samuel Vonäsch,,http://cmyk.elephantatwork.ch/imgs/pictures/CharacterSelection_5.png,https://www.youtube.com/watch?v=qpjgdFa3L6g,,,,
Call of the Giants,http://apelab.ch/project/call-of-the-giants/,Beta),,http://apelab.ch/wp-content/uploads/2014/12/Image5.jpg,,,,,
Colorball,http://www.irrelevantstudio.ch/,Irrelevant Studio,2013,http://www.irrelevantstudio.ch/wordpress/wp-content/uploads/2014/07/StartupFairZurich.jpg,,,,,
Daina: The Herbarium,http://daina.ch/,Yasemin Günay/Dario Hardmeier/Raffaele de Lauretis,,http://daina.ch/images/priest.png,,,,,
Don’t Kill Her,http://www.wuthrer.net/dontkillher/,wuthrer,,http://www.wuthrer.net/dontkillher/img/H1.png,,http://player.vimeo.com/video/58980218?title=0&byline=0&portrait=0&color=ffffff/,,,
Farewell,http://miriamwissel.ch/farewell/,Miriam Wissel,,http://miriamwissel.ch/content/wp-content/uploads/Maps.jpg,https://www.youtube.com/watch?v=J1eEYCmA5og?rel=0,,,,
Feist,http://playfeist.net/,Florian Faller/Adrian Stutz,,http://playfeist.net/img/screenshots/FeistScreen1.jpg,,,,,
Fireborne,http://firebornegame.com/,Year Seventeen: Jean Simonet/Olivier Basille/Jonah Lobe,2015,,,,,,
FoxTrotte,http://www.witchlake.ch/#!foxtrotte/c1i8u,WitchLake Studio,2015,,,,,,
Gbanga Famiglia: Rise and Fall,https://gbanga.com/gameography/rise-and-fall/,Gbanga,,,,,,https://itunes.apple.com/ch/app/gbanga-famiglia/id355692882?mt=8,
